SIEC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Paraffin waxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patent fuel,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Peat,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Peat products,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Petroleum coke,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.721,66.122,72.485,98.280,141.187,192.863,84.093,119.604,130.353,89.682,95.529,330.782,252.623,140.585,81.255,8.083,3.783
Primary solid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.834,12.726,13.500,0.086,0.086,57.954,63.887,74.001,48.911,4.213,4.213,17.799,19.604,27.945,18.315,18.487,182.201,178.504,204.901,218.573,238.951,242.218,220.464,286.586
Pure bio jet kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pure biodiesels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pure biogasoline,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Refinery feedstocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refinery gas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.455,17.283,14.101,28.719,28.719,24.334,28.461,25.021,38.779,17.885,21.926,25.795,14.961,12.382,15.477,14.617,3.697,3.611,6.019,5.847,6.191,4.557,3.697,4.041
Solar photovoltaic,0.516,0.602,0.688,0.774,0.860,1.290,1.032,1.118,1.290,1.462,0.344,0.516,0.516,0.602,0.666,2.664,9.198,41.977,218.487,510.662,550.301,637.575,702.114,713.594,704.182,708.187,690.673,729.235,674.205,802.494,1 327.773
Solar thermal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.689,1.388,8.856,65.451,168.444,324.595,410.124,469.029,480.932,479.725,505.847,418.487,488.650,429.235
Sub-bituminous coal,434.394,460.361,479.708,498.710,508.426,500.430,405.933,463.629,298.968,369.046,453.310,344.626,440.499,362.683,389.338,396.131,343.508,343.422,286.586,162.253,110.232,344.024,259.845,192.949,252.193,278.418,158.727,220.464,149.441,79.966,10.576
"Tide, wave, ocean",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.720,2.322
Total,12 546.346,12 896.905,13 219.948,12 996.303,13 111.436,13 436.543,13 725.623,14 589.080,14 738.607,15 357.438,16 854.428,17 734.308,18 200.344,19 520.206,20 782.406,21 827.499,22 725.621,23 276.200,23 717.553,22 052.193,22 590.559,21 753.912,22 018.024,21 214.972,21 201.142,21 269.601,20 693.445,20 601.118,20 366.724,20 201.290,19 579.278
White spirit and special boiling point industrial spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,1.204,1.290,8.856,9.974,15.047,23.216,31.298,63.801,116.165,235.770,406.019,580.739,801.462,1 035.942,1 347.206,1 817.713,2 000.172,2 367.326,2 829.579,3 273.689,3 802.666,3 686.672,4 247.549,4 777.300,4 465.262,4 234.394,4 198.452,4 213.929,4 362.597,4 773.259,4 843.766
