SIEC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Peat products,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Petroleum coke,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.836,130.095,163.457,112.468,20.894,39.037,64.574,9.028,2.837,25.279,3.955,0.946,1.376,0.086,0.344,1.376,0.430,0.688
Primary solid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,83.577,132.588,245.142,285.899,307.653,300.860,276.956,304.557,322.872,331.470,325.021,331.728,325.365,325.021,314.359,375.494,349.957,355.374
Pure bio jet kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pure biodiesels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pure biogasoline,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Refinery feedstocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refinery gas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Renewable municipal waste,104.815,104.643,108.512,103.439,112.640,115.907,115.477,120.120,139.123,149.613,158.555,159.845,167.584,118.659,118.401,185.125,220.980,255.116,271.797,247.206,272.829,274.721,266.036,279.794,315.133,302.494,306.621,281.427,314.015,320.206,324.420
Solar photovoltaic,0.086,0.086,0.172,0.086,0.172,0.172,0.172,0.688,1.290,1.290,5.159,9.974,16.165,26.913,47.893,110.232,190.886,264.402,380.052,566.036,"1,008.512","1,685.211","2,268.272","2,666.380","3,100.258","3,329.837","3,275.838","3,387.876","3,736.801","3,816.251","4,182.373"
Solar thermal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sub-bituminous coal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Tide, wave, ocean",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total,"40,076.354","39,484.007","39,660.619","38,960.447","39,290.886","39,772.743","42,053.224","41,758.469","42,260.189","42,627.859","45,368.272","46,274.033","46,997.936","43,198.280","43,710.232","43,918.917","44,941.874","44,811.522","44,829.063","41,279.106","43,406.793","41,949.871","43,509.888","44,241.445","43,382.889","44,502.923","43,649.699","43,256.062","42,833.706","40,288.134","37,664.488"
White spirit and special boiling point industrial spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,4.127,5.589,6.019,7.739,12.124,6.449,7.653,12.210,18.487,11.866,804.127,899.054,"1,363.371","1,641.187","2,237.231","2,388.134","2,693.379","3,482.975","3,558.469","3,389.510","3,314.445","4,287.016","4,443.680","4,534.566","5,029.837","6,932.416","6,872.227","9,087.962","9,454.084","10,824.936","11,358.727"
