SIEC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Pure biogasoline,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Refinery feedstocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refinery gas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Renewable municipal waste,3.095,4.815,4.987,5.331,5.675,6.621,9.630,9.286,11.178,10.146,11.522,13.414,18.143,25.451,30.525,35.205,46.454,50.088,53.807,68.196,90.128,101.282,102.564,105.404,107.129,103.061,104.004,98.102,95.764,92.739,90.842
Solar photovoltaic,0.344,0.430,0.774,0.946,0.946,1.118,1.204,1.290,1.376,1.462,1.548,1.634,1.806,2.064,2.494,2.666,3.009,3.310,16.534,58.167,163.857,928.265,"1,621.817","1,856.287","1,918.002","1,972.673","1,900.624","2,096.106","1,947.879","2,036.879","2,144.583"
Solar thermal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sub-bituminous coal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.054,66.122,31.728,71.625,85.211,81.427,73.259,22.184,1.403,0.000,0.000,0.000
"Tide, wave, ocean",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total,"16,306.277","16,498.366","16,622.356","16,063.285","16,516.767","17,202.666","17,126.655","16,877.300","17,142.992","17,145.400","18,396.917","18,156.912","18,305.804","18,811.579","18,668.208","17,743.562","18,028.005","17,554.870","18,407.117","16,332.289","16,181.658","17,107.857","16,927.217","16,914.029","16,589.518","15,946.287","15,734.210","15,833.026","15,770.763","15,922.575","15,373.735"
White spirit and special boiling point industrial spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,0.172,0.258,0.172,0.344,0.602,0.774,2.837,10.146,19.862,34.652,48.409,101.376,120.722,125.365,158.545,201.255,255.189,346.892,417.723,562.258,784.350,846.818,"1,152.805","1,280.908","1,305.100","1,276.344","1,520.952","1,525.530","1,523.339","1,737.063","1,612.825"
