SIEC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Other bituminous coal,238.435,239.123,158.641,92.691,105.417,124.506,305.589,364.574,251.247,215.133,340.069,426.311,400.258,566.724,561.565,492.643,514.822,512.135,448.978,295.323,395.397,437.672,349.047,328.556,213.083,206.364,129.561,109.470,118.409,96.898,18.150
Other kerosene,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Other liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.067,0.979,3.226,3.613,3.525,1.685,1.777,0.846,0.569,0.035,0.023,0.012,0.012,0.065,0.020,0.008,0.018,0.012
Other recovered gases,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Paraffin waxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patent fuel,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Peat,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Peat products,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Petroleum coke,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Primary solid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.481,0.066,7.001,7.830,9.631,15.258,24.253,46.922,67.711,66.809,87.430,82.202,73.564,69.044,62.530,68.110,75.191,63.877,65.317,62.566,44.752,50.677
Pure bio jet kerosene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pure biodiesels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Pure biogasoline,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Refinery feedstocks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refinery gas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.397,1.450,1.816,1.651,5.351,10.217,7.885,8.263,8.404,6.927,4.545,3.897,4.324,5.045,4.744,6.110,8.359,7.179,6.661,8.906,8.226,6.243
Solar photovoltaic,0.000,0.000,0.000,0.048,0.068,0.089,0.105,0.162,0.172,0.199,0.278,0.459,0.776,1.263,1.585,1.807,1.925,2.084,2.590,4.206,7.637,14.967,29.018,53.824,67.519,80.576,94.240,109.112,125.119,146.354,175.661
Solar thermal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sub-bituminous coal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Tide, wave, ocean",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total,"3,248.237","3,233.482","3,264.953","3,364.929","3,318.736","3,502.858","3,702.661","3,874.164","3,901.797","4,274.321","4,317.148","4,376.667","4,327.270","4,232.915","4,508.899","4,700.896","4,504.713","4,466.372","4,615.626","4,784.602","4,703.175","4,355.823","4,985.425","4,712.574","4,570.710","4,523.247","4,656.214","4,989.795","4,737.263","5,200.936","5,066.486"
White spirit and special boiling point industrial spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,0.000,0.000,0.000,0.000,0.026,0.064,0.399,1.739,3.908,4.347,5.740,8.998,12.022,32.010,80.278,114.469,150.713,175.166,172.937,168.017,177.465,166.483,211.768,271.060,330.669,416.193,450.115,565.048,518.524,640.591,583.966
